ApplStandard,Brand,Cap,Cap (Second Drum),CEC Cold,CEC Cold (Second Drum),CEC_,CEC_ (Second Drum),Cold Prog,Cold Prog (Second Drum),Cold Wat Cons,Cold Wat Cons (Second Drum),Combination,Combination (Second Drum),Conn_Mode,Conn_Mode (Second Drum),Country,delayStartMode,delayStartMode (Second Drum),Depth,Depth (Second Drum),DetergentType,DetergentType (Second Drum),Height,Height (Second Drum),Hot Wat Cons,Hot Wat Cons (Second Drum),internal_heater,internal_heater (Second Drum),Loading,Loading (Second Drum),MachineAction,MachineAction (Second Drum),Model No,Family Name,N-Standard,New SRI,New SRI (Second Drum),New Star,New Star (Second Drum),postProgenergy,postProgenergy (Second Drum),powerConsMode,powerConsMode (Second Drum),Prog Name,Prog Name (Second Drum),Sold_in,standbyPowerUsage,standbyPowerUsage (Second Drum),Submit_ID,SubmitStatus,Test Prog Time,Test Prog Time (Second Drum),Tot Wat Cons,Tot Wat Cons (Second Drum),Type,Type (Second Drum),WEI,WEI (Second Drum),Width,Width (Second Drum),ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Program Time,Program Time (Second Drum),Hot Water (L),Hot Water (L) (Second Drum),Cold Water (L),Cold Water (L) (Second Drum),Star Rating (old),Star Image Large,Star Image Large (Second Drum),Star Image Small,Star Image Small (Second Drum),Registration Number
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,Midea,7.5,,,,460,,,,,,False,,Cold,,China,True,,565.0,,Drum,,850.0,,,,Yes on the warm wash program only,,Front,,,,MFWG7514,,AS/NZS 2040.1:2005/Amdt 3:2010,3.02781264359012,,3.0,,0.00013,,0.6,,Cotton 60°C,,Australia,0.5,,94873,Approved,325.3,,0.0,,Drum,,0.528,,595.0,,2021-10-18,,Single product class,Available,http://www.castel.com.au/,,281.0,,77.0,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,,ACW0463
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,Daewoo,7.5,,,,532,,,,,,False,,Dual,,China,True,,,,Non Drum,,,,,,No,,Top,,Impeller,,DWF-75GAWCA,,AS/NZS 2040.1:2005/Amdt 3:2010,2.42197093307489,,2.0,,1e-05,,0.38,,"soak, hot and cold, powerful, water level 5, wash 138min, rinse 3, spin 9 min",,"Australia,New Zealand",0.38,,95015,Approved,60.0,,0.0,,Non-Drum,,0.73589,,,,2020-12-08,,Single product class,Available,http://www.dongbudaewooelec.com/english/,,138.0,,95.1,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ACW0361
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,Daewoo,8.5,,,,598,,,,,,False,,Dual,,China,True,,,,Non Drum,,,,,,No,,Top,,Impeller,,DWF-85GAWCA,,AS/NZS 2040.1:2005/Amdt 3:2010,2.44449357435371,,2.0,,7e-06,,0.44,,"soak,hot and cold, powerful, water level 5, wash 138min, rinse 3, spin 9 min",,"Australia,New Zealand",0.44,,95034,Approved,60.0,,0.0,,Non-Drum,,0.73289,,,,2020-12-08,,Single product class,Unavailable,http://www.dongbudaewooelec.com/english/,,138.0,,104.7,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ACW0360
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,LG,14,,240,,840,,"Eco Cotton, Cold wash, Soak 2:00 hrs, Rinse 5, Wash 6min, Ultra spin",,,,False,,Dual,,"Vietnam,China",True,,721.0,,Drum,,1026.0,,,,Yes on the warm wash program only,,Top,,Impeller,,WTG1432,WTG1432,AS/NZS 2040.1:2005/Amdt 3:2010,3.00718341092942,,3.0,,8.7e-05,,0.29,,"Eco Cotton, Hot & Cold wash, Soak 2:00 hrs, Rinse 5, Wash 6min, Ultra spin",,"Australia,New Zealand",0.3,,95038,Approved,259.0,,0.0,,Non-Drum,,0.58152,,686.0,,2021-01-08,,Single product class,Unavailable,,,259.0,,144.0,,144.0,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,,ACW0365
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,LG,14,,240,,840,,"Eco Cotton, Cold wash, Soak 2:00 hrs, Rinse 5, Wash 6min, Ultra spin",,,,False,,Dual,,"Vietnam,China",True,,721.0,,Drum,,1026.0,,,,Yes on the warm wash program only,,Top,,Impeller,,WTG1432VH,WTG1432,AS/NZS 2040.1:2005/Amdt 3:2010,3.00718341092942,,3.0,,8.7e-05,,0.29,,"Eco Cotton, Hot & Cold wash, Soak 2:00 hrs, Rinse 5, Wash 6min, Ultra spin",,"Australia,New Zealand",0.3,,95038,Approved,259.0,,0.0,,Non-Drum,,0.58152,,686.0,,2021-01-08,,Single product class,Unavailable,,,259.0,,144.0,,144.0,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,,ACW0365
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,LG,14,,240,,840,,"Eco Cotton, Cold wash, Soak 2:00 hrs, Rinse 5, Wash 6min, Ultra spin",,,,False,,Dual,,"Vietnam,China",True,,721.0,,Drum,,1026.0,,,,Yes on the warm wash program only,,Top,,Impeller,,WTG1432WH,WTG1432,AS/NZS 2040.1:2005/Amdt 3:2010,3.00718341092942,,3.0,,8.7e-05,,0.29,,"Eco Cotton, Hot & Cold wash, Soak 2:00 hrs, Rinse 5, Wash 6min, Ultra spin",,"Australia,New Zealand",0.3,,95038,Approved,259.0,,0.0,,Non-Drum,,0.58152,,686.0,,2021-01-08,,Single product class,Unavailable,,,259.0,,144.0,,144.0,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,,ACW0365
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,Euroclean,5,,47,,350,,,,65.5,,False,,Dual,,China,True,,,,Non Drum,,,,0.0,,No,,Top,,Impeller,,ECJI5KGTL,,AS/NZS 2040.1:2005/Amdt 3:2010,2.35223689754141,,2.0,,0.0,,1.98,,"""Normal"", ""Soak"" process is off, water supply is ""Warm"", water level is ""8""",,Australia,0.947,,95041,Approved,52.7,,65.5,,Non-Drum,,0.8251,,,,2020-12-08,,Single product class,Unavailable,http://www.candy-group.com/,,53.0,,48.2,,17.8,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ACW0359
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,HAIER,6,,68,,365,,,,61.2,,False,,Cold,,China,False,,,,Drum,,,,16.5,,No,,Top,,Impeller,,XPB60-287S,,AS/NZS 2040.1:2005/Amdt 3:2010,2.73118341221522,,2.5,,0.0,,0.1,,18 min Normal warm wash (35 deg c); 9 min. rinse; 5 min. spin (1/2 loads),,"Australia,New Zealand",0.1,,95250,Approved,84.0,,77.7,,Non-Drum,,0.77075,,,,2021-03-18,,Single product class,Unavailable,,,84.0,,80.0,,80.0,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,,ACW0358
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,BEKO,8,,,,400,,,,,,False,,Dual,,Turkey,True,,600.0,,Drum,,840.0,,,,Yes on the warm wash program only,,Front,,,,WMA8168LB1,,AS/NZS 2040.1:2005/Amdt 3:2010,3.56762450812938,,3.5,,5.05e-05,,0.526,,"Cottons Eco, 40 0C, 1600 RPM",,"Australia,New Zealand",0.504,,95594,Approved,288.0,,0.0,,Drum,,0.4963,,600.0,,2020-12-22,,Single product class,Available,http://www.beko.com.au/,,297.0,,57.6,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,,ACW0364
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,BEKO,8,,,,322,,,,,,True,,Cold,,Turkey,True,,630.0,,Drum,,840.0,,,,Yes on the warm wash program only,,Front,,,,WDA8514AT,,AS/NZS 2040.1:2005/Amdt 3:2010,4.04087910635593,,4.0,,2.608e-05,,0.695,,"Cottons Eco,40 C, 1400 RPM",,"Australia,New Zealand",0.491,,95596,Approved,224.0,,0.0,,Drum,,0.5114,,600.0,,2020-12-18,,Single product class,Available,http://www.beko.com.au/,,224.0,,68.8,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ACW0363
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,LG,14,,240,,840,,"Eco Cotton, Cold wash, Soak 2:00 hrs, Rinse 5, Wash 6min, Ultra spin",,,,False,,Dual,,Vietnam,True,,721.0,,Drum,,1026.0,,,,Yes on the warm wash program only,,Top,,Impeller,,WTG1432,WTG1432,AS/NZS 2040.1:2005/Amdt 3:2010,3.00718341092942,,3.0,,8.7e-05,,0.29,,"Eco Cotton, Hot & Cold wash, Soak 2:00 hrs, Rinse 5, Wash 6min, Ultra spin",,"Australia,New Zealand",0.3,,95651,Approved,259.0,,0.0,,Non-Drum,,0.58152,,686.0,,2022-02-21,,Single product class,Unavailable,,,259.0,,144.0,,144.0,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,,ACW0502
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,LG,14,,240,,840,,"Eco Cotton, Cold wash, Soak 2:00 hrs, Rinse 5, Wash 6min, Ultra spin",,,,False,,Dual,,Vietnam,True,,721.0,,Drum,,1026.0,,,,Yes on the warm wash program only,,Top,,Impeller,,WTG1432VHF,WTG1432,AS/NZS 2040.1:2005/Amdt 3:2010,3.00718341092942,,3.0,,8.7e-05,,0.29,,"Eco Cotton, Hot & Cold wash, Soak 2:00 hrs, Rinse 5, Wash 6min, Ultra spin",,"Australia,New Zealand",0.3,,95651,Approved,259.0,,0.0,,Non-Drum,,0.58152,,686.0,,2022-02-21,,Single product class,Unavailable,,,259.0,,144.0,,144.0,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,,ACW0502
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,LG,14,,240,,840,,"Eco Cotton, Cold wash, Soak 2:00 hrs, Rinse 5, Wash 6min, Ultra spin",,,,False,,Dual,,Vietnam,True,,721.0,,Drum,,1026.0,,,,Yes on the warm wash program only,,Top,,Impeller,,WTG1432WHF,WTG1432,AS/NZS 2040.1:2005/Amdt 3:2010,3.00718341092942,,3.0,,8.7e-05,,0.29,,"Eco Cotton, Hot & Cold wash, Soak 2:00 hrs, Rinse 5, Wash 6min, Ultra spin",,"Australia,New Zealand",0.3,,95651,Approved,259.0,,0.0,,Non-Drum,,0.58152,,686.0,,2022-02-21,,Single product class,Unavailable,,,259.0,,144.0,,144.0,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,,ACW0502
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,BEKO,9,,,,357,,,,,,False,,Dual,,Turkey,True,,600.0,,Drum,,840.0,,,,Yes on the warm wash program only,,Front,,,,WMA9148LB1,,AS/NZS 2040.1:2005/Amdt 3:2010,4.00259622230601,,4.0,,5.05e-05,,0.526,,"Cottons Eco, 40C,1400rpm",,"Australia,New Zealand",0.504,,95702,Approved,291.0,,0.0,,Drum,,0.5493,,600.0,,2021-01-08,,Single product class,Available,http://www.beko.com.au/,,291.0,,77.4,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ACW0366
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,Westinghouse,8.5,,106,,756,,"Regular wash, Auto water level, Cold temp, No soak, Eco rinse",,118.5,,False,,Dual,,Thailand,False,,,,Drum,,,,0.0,,No,,Top,,Agitator,,WWT854,,AS/NZS 2040.1:2005/Amdt 3:2010,2.01313852762077,,2.0,,0.0,,4.147,,"Regular wash, Auto water level, Warm temp, No soak, Eco rinse",,New Zealand,0.157,,95717,Approved,92.0,,118.5,,Non-Drum,,0.59,,,,2021-01-08,,Single product class,Unavailable,,http://www.westinghouse.com.au/,92.0,,123.0,,123.0,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ACW0367
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,Euroclean,13,,,,954,,,,,,False,,Dual,,China,True,,700.0,,Non Drum,,1070.0,,,,No,,Top,,Impeller,,ECTL13KG,,AS/NZS 2040.1:2005/Amdt 3:2010,2.03407894357143,,2.0,,0.0,,2.77,,Normal,,"Australia,Fiji,New Zealand",0.947,,95977,Approved,63.3,,0.0,,Non-Drum,,0.9967,,685.0,,2021-02-10,,Single product class,Available,,,63.3,,185.4,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ACW0374
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,LG,8.5,,140,,708,,"Eco Cotton, Water level 4, Water temp cold",,,,False,,Dual,,Thailand,True,,670.0,,Non Drum,,1020.0,,,,No,,Top,,Impeller,,WF-T8582,,AS/NZS 2040.1:2005/Amdt 3:2010,2.02427471074103,,2.0,,3e-05,,0.94,,"Eco Cotton, Water level 4, Water temp warm",,"Australia,New Zealand",0.97,,96094,Approved,82.17,,0.0,,Non-Drum,,0.74794,,632.0,,2021-01-19,,Single product class,Unavailable,,,83.0,,125.0,,125.0,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ACW0368
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,MIELE,6.5,,,,250,,,,,,False,,Dual,,"Czechia,Germany",True,,,,Drum,,,,,,Yes on both the warm and cold wash programs,,Front,,,,PW 6065 Vario,,AS/NZS 2040.1:2005/Amdt 3:2010,4.05246169378645,,4.0,,0.00134,,0.207,,"Cottons Uni. Intensive, 45degC at 1400 rpm",,"Australia,New Zealand",0.207,,96129,Approved,122.0,,0.0,,Drum,,0.56,,,,2021-01-28,,Single product class,Available,http://www.miele.com.au/,http://www.miele.com.au,122.0,,57.0,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ACW0371
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,EUROMAID,5,,,,340,,,,57.29,,False,,Cold,,China,True,,450.0,,Drum,,840.0,,1.0,,Yes on the warm wash program only,,Front,,,,WM5,,AS/NZS 2040.1:2005/Amdt 3:2010,2.58703102480774,,2.5,,5e-05,,1.306,,"Cotton 60 C, 1000 rpm",,"Australia,New Zealand",0.007,,96265,Approved,152.0,,58.29,,Drum,,0.68,,600.0,,2021-01-27,,Single product class,Available,http://www.glendimplex.com.au,,152.0,,61.0,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,,ACW0370
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,Euromaid,7,,,,394,,,,,,False,,Cold,,China,True,,540.0,,Drum,,840.0,,,,Yes on the warm wash program only,,Front,,,,WM7,,AS/NZS 2040.1:2005/Amdt 3:2010,3.18885743139155,,3.0,,0.0,,1.37,,"Cotton Eco, 60C, 1200 rpm",,"Australia,New Zealand",0.17,,96268,Approved,180.0,,0.0,,Drum,,0.56,,600.0,,2021-02-10,,Single product class,Available,http://www.glendimplex.com.au,,180.0,,60.0,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,,ACW0373
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,Euroclean,5,,,,350,,,,,,False,,Dual,,China,True,,510.0,,Non Drum,,860.0,,,,No,,Top,,Impeller,,ECTL5KG,,AS/NZS 2040.1:2005/Amdt 3:2010,2.35223689754141,,2.0,,0.0,,1.98,,Normal,,"Australia,Fiji,New Zealand",0.947,,96580,Approved,52.7,,0.0,,Non-Drum,,0.825,,510.0,,2021-02-01,,Single product class,Available,,,63.3,,65.9,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ACW0372
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,SAMSUNG ELECTRONICS,16,,308,0,591,0,"Energy Saving course, Cold, Rinse 3, Extra high spin, bubble wash option OFF",,135.3,0.0,True,,Dual,,South Korea,True,,,0.0,Drum,,,0.0,0.0,0.0,Yes on both the warm and cold wash programs,,,,,,WD16J9845KG,WD16xxxxxKx,AS/NZS 2040.1:2005/Amdt 3:2010,4.06443847762984,0.0,4.0,0.0,8.5e-05,0.0,2.12,0.0,"Energy Saving course, 40ºC, Rinse 3, Extra high spin, bubble wash option OFF",,,2.28,0.0,96664,Approved,314.54,0.0,135.3,0.0,Drum,,0.59685,0.0,,0.0,2021-02-22,,Single product class,Available,,http://www.samsung.com.au,314.54,0.0,164.0,0.0,135.0,0.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ACW0377
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,SAMSUNG ELECTRONICS,16,,308,0,591,0,"Energy Saving course, Cold, Rinse 3, Extra high spin, bubble wash option OFF",,135.3,0.0,True,,Dual,,South Korea,True,,,0.0,Drum,,,0.0,0.0,0.0,Yes on both the warm and cold wash programs,,,,,,WD16xxxxxKx,WD16xxxxxKx,AS/NZS 2040.1:2005/Amdt 3:2010,4.06443847762984,0.0,4.0,0.0,8.5e-05,0.0,2.12,0.0,"Energy Saving course, 40ºC, Rinse 3, Extra high spin, bubble wash option OFF",,,2.28,0.0,96664,Approved,314.54,0.0,135.3,0.0,Drum,,0.59685,0.0,,0.0,2021-02-22,,Single product class,Available,,http://www.samsung.com.au,314.54,0.0,164.0,0.0,135.0,0.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ACW0377
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,SAMSUNG ELECTRONICS,16,,308,0,591,0,"Energy Saving course, Cold, Rinse 3, Extra high spin, bubble wash option OFF",,135.3,0.0,True,,Dual,,South Korea,True,,,0.0,Drum,,,0.0,0.0,0.0,Yes on both the warm and cold wash programs,,,,,,WF16N8750KV,WD16xxxxxKx,AS/NZS 2040.1:2005/Amdt 3:2010,4.06443847762984,0.0,4.0,0.0,8.5e-05,0.0,2.12,0.0,"Energy Saving course, 40ºC, Rinse 3, Extra high spin, bubble wash option OFF",,,2.28,0.0,96664,Approved,314.54,0.0,135.3,0.0,Drum,,0.59685,0.0,,0.0,2021-02-22,,Single product class,Available,,http://www.samsung.com.au,314.54,0.0,164.0,0.0,135.0,0.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ACW0377
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,WHIRLPOOL,10,,,,290,,,,,,False,,Cold,,Italy,True,,,,Drum,,,,,,Yes on the warm wash program only,,Front,,,,FSCR12420,,AS/NZS 2040.1:2005/Amdt 3:2010,4.51896786857045,,4.5,,0.0005,,0.2782,,eCotton 40 °C 1400 RPM,,"Australia,Fiji,New Zealand",0.2782,,96819,Approved,345.0,,0.0,,Drum,,0.6065,,,,2021-03-22,,Single product class,Available,http://www.whirlpool.com.au/,,344.61,,94.21,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW0381
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,WHIRLPOOL,7.5,,,,220,,,,,,False,,Cold,,Italy,True,,,,Drum,,,,,,Yes on the warm wash program only,,Front,,,,FSCR80410,,AS/NZS 2040.1:2005/Amdt 3:2010,4.55668788722053,,4.5,,0.0005,,0.225,,eCotton 40 oC 1400 rpm,,"Australia,Fiji,New Zealand",0.225,,96822,Approved,302.0,,0.0,,Drum,,0.58,,,,2021-03-18,,Single product class,Available,http://www.whirlpool.com.au/,,302.0,,74.0,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW0380
AS/NZS 2040.2:2005 (Legacy),NOUVEAU,5.5,,,,565,,,,,,False,,Dual,,"Thailand,China",True,,,,Non Drum,,,,,,No,,Top,,,,NWM55TL,,AS/NZS 2040.1:2005/Amdt 3:2010,1.50327445658469,,1.5,,0.00015989,,0.9,,"Normal, Warm, High Programme",,New Zealand,0.8,,96837,Approved,170.0,,0.0,,Non-Drum,,0.7,,,,2116-02-24,,Single product class,Available,http://www.applico.co.nz/,,170.0,,76.0,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,,ZCW0081
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,MIELE,7,,,,210,,,,69.26,,False,,Cold,,Germany,False,,,,Drum,,,,0.0,,Yes on the warm wash program only,,Front,,Drum,,W 1913,,AS/NZS 2040.1:2005/Amdt 3:2010,4.52382297699292,,4.5,,0.00018,,0.74,,Cottons 40' C,,"Australia,New Zealand",0.15,,96889,Approved,142.0,,69.26,,Drum,,0.57,,,,2021-04-17,,Single product class,Available,http://www.miele.com.au/,http://www.miele.com.au,142.0,,69.0,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW0375
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,MIELE,8,,,,221,,,,66.4,,False,,Cold,,"Czechia,Germany",True,,,,Drum,,,,0.0,,Yes on the warm wash program only,,Front,,Drum,,W 5000,W 5xxx,AS/NZS 2040.1:2005/Amdt 3:2010,4.84163603118396,,4.5,,0.001,,0.1,,Cottons Eco 40'C,,"Australia,New Zealand",0.1,,96891,Approved,173.0,,66.4,,Drum,,0.51,,,,2021-05-03,,Single product class,Available,http://www.miele.com.au/,http://www.miele.com.au,175.0,,68.0,,0.0,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW0376
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,MIELE,8,,,,221,,,,66.4,,False,,Cold,,"Czechia,Germany",True,,,,Drum,,,,0.0,,Yes on the warm wash program only,,Front,,Drum,,W 5965,W 5xxx,AS/NZS 2040.1:2005/Amdt 3:2010,4.84163603118396,,4.5,,0.001,,0.1,,Cottons Eco 40'C,,"Australia,New Zealand",0.1,,96891,Approved,173.0,,66.4,,Drum,,0.51,,,,2021-05-03,,Single product class,Available,http://www.miele.com.au/,http://www.miele.com.au,175.0,,68.0,,0.0,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW0376
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2015,MIELE,8,,,,221,,,,66.4,,False,,Cold,,"Czechia,Germany",True,,,,Drum,,,,0.0,,Yes on the warm wash program only,,Front,,Drum,,W 5xxx,W 5xxx,AS/NZS 2040.1:2005/Amdt 3:2010,4.84163603118396,,4.5,,0.001,,0.1,,Cottons Eco 40'C,,"Australia,New Zealand",0.1,,96891,Approved,173.0,,66.4,,Drum,,0.51,,,,2021-05-03,,Single product class,Available,http://www.miele.com.au/,http://www.miele.com.au,175.0,,68.0,,0.0,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW0376
AS/NZS 2040.2:2005 (Legacy),CLASSIQUE,6.5,,,,675,,,,,,False,,Dual,,"Thailand,Turkey,China",True,,,,Non Drum,,,,,,No,,Top,,,,CL65TLW,,AS/NZS 2040.1:2005/Amdt 3:2010,1.50123477064669,,1.5,,0.00015989,,0.9,,"Normal, Warm, High",,New Zealand,0.8,,96955,Approved,152.0,,0.0,,Non-Drum,,0.7,,,,2116-02-24,,Single product class,Available,http://www.applico.co.nz/,http://www.applico.co.nz/,152.0,,96.0,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,,ZCW0082
AS/NZS 2040.2:2005 (Legacy),CLASSIQUE,8,,,,835,,,,,,False,,Dual,,"Turkey,Thailand,China",True,,,,Non Drum,,,,,,No,,Top,,,,CL80TLW,,AS/NZS 2040.1:2005/Amdt 3:2010,1.50236863005183,,1.5,,0.00015989,,0.9,,"Normal, Warm, High",,New Zealand,0.8,,96956,Approved,144.0,,0.0,,Non-Drum,,0.7,,,,2116-02-24,,Single product class,Available,http://www.applico.co.nz/,http://www.applico.co.nz/,144.0,,118.0,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,,ZCW0083
