ApplStandard,Brand,Country Of Manufacturer,Eff50,Eff75,EffFL,Enclr,Frame,High_eff_compl,High_eff_load,kWatt,MEPS_Applic,MEPS_compl_load,MEPS_Why,Model No,Family Name,Mount_Code,N-Standard,N-TestMethod,NumPls,Sold_in,Submit_ID,SubmitStatus,Torque_FL,Voltage,Weight,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,92.5,94.5,94.5,IP55,280 M (foot),No,,90.0,Yes - 2001 MEPS Level,both,,TEFC 90KW 4P,,B3,IEC 60034-2-1 (Edition 2.0),B,4,"Australia,New Zealand",12354,Superseded,592.3,415,670.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,92.0,94.5,94.5,IP55,315 S (foot),No,,110.0,Yes - 2001 MEPS Level,both,,TEFC 110KW 4P,,B3,IEC 60034-2-1 (Edition 2.0),B,4,"Australia,New Zealand",12355,Superseded,720.0,415,900.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,94.0,95.0,95.0,IP55,315 M (foot),No,,132.0,Yes - 2001 MEPS Level,both,,TEFC 132KW 4P,,B3,IEC 60034-2-1 (Edition 2.0),B,4,"Australia,New Zealand",12356,Superseded,864.0,415,950.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,94.0,95.0,95.0,IP55,315 M (foot),No,,150.0,Yes - 2001 MEPS Level,both,,TEFC 150KW 4P,,B3,IEC 60034-2-1 (Edition 2.0),B,4,"Australia,New Zealand",12357,Superseded,981.9,415,950.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,94.0,95.3,95.3,IP55,315 L (foot),No,,160.0,Yes - 2001 MEPS Level,both,,TEFC 132KW 4P,,B3,IEC 60034-2-1 (Edition 2.0),B,4,"Australia,New Zealand",12358,Superseded,1045.9,415,1160.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,94.0,95.0,95.0,IP55,315 L (foot),No,,180.0,Yes - 2001 MEPS Level,both,,TEFC 180KW 4P,,B3,IEC 60034-2-1 (Edition 2.0),B,4,"Australia,New Zealand",12359,Superseded,1176.6,415,1160.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,94.0,95.3,95.3,IP55,315 L (foot),No,,160.0,Yes - 2001 MEPS Level,both,,TEFC 160KW 4P,,B3,IEC 60034-2-1 (Edition 2.0),B,4,"Australia,New Zealand",12360,Superseded,1045.9,415,1160.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,74.0,76.0,77.0,IP55,AD/D80,No,,0.75,Yes - 2001 MEPS Level,both,,TEFC 0.75KW 2P,,B3,IEC 60034-2-1 (Edition 2.0),B,2,"Australia,New Zealand",12361,Superseded,2.6,415,17.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,76.0,78.0,79.0,IP55,90 S (foot),No,,1.1,Yes - 2001 MEPS Level,both,,TEFC 1.1KW 2P,,B3,IEC 60034-2-1 (Edition 2.0),B,2,"Australia,New Zealand",12362,Superseded,3.8,415,17.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,77.0,79.0,80.0,IP55,90 S (foot),No,,1.5,Yes - 2001 MEPS Level,both,,TEFC 1.5KW 2P,,B3,IEC 60034-2-1 (Edition 2.0),B,2,"Australia,New Zealand",12363,Superseded,5.2,415,22.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,78.0,80.0,81.0,IP55,90 L (foot),No,,2.2,Yes - 2001 MEPS Level,100,,TEFC 2.2KW 2P,,B3,IEC 60034-2-1 (Edition 2.0),B,2,"Australia,New Zealand",12364,Superseded,7.6,415,25.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,87.5,89.5,89.5,IP55,160 M (foot),No,,15.0,Yes - 2001 MEPS Level,both,,TEFC 15KW 2P,,B3,IEC 60034-2-1 (Edition 2.0),B,2,"Australia,New Zealand",12366,Superseded,50.0,415,125.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,88.0,90.0,90.0,IP55,160 L (foot),No,,18.5,Yes - 2001 MEPS Level,both,,TEFC 18.5KW 2P,,B3,IEC 60034-2-1 (Edition 2.0),B,2,"Australia,New Zealand",12367,Superseded,61.7,415,148.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,89.0,91.0,91.0,IP55,180 M (foot),No,,22.0,Yes - 2001 MEPS Level,both,,TEFC 22KW 2P,,B3,IEC 60034-2-1 (Edition 2.0),B,2,"Australia,New Zealand",12371,Superseded,73.1,415,164.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,90.0,91.5,91.5,IP55,200 L (foot),No,,30.0,Yes - 2001 MEPS Level,both,,TEFC 30KW 2P,,B3,IEC 60034-2-1 (Edition 2.0),B,2,"Australia,New Zealand",12372,Superseded,99.1,415,282.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,90.0,92.0,92.0,IP55,200 L (foot),No,,37.0,Yes - 2001 MEPS Level,both,,TEFC 37KW 2P,,B3,IEC 60034-2-1 (Edition 2.0),B,2,"Australia,New Zealand",12373,Superseded,122.2,415,282.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,69.0,71.0,73.0,IP55,90 S (foot),No,,0.75,Yes - 2001 MEPS Level,100,,TEFC 0.75KW 6P,,B3,IEC 60034-2-1 (Edition 2.0),B,6,"Australia,New Zealand",12374,Superseded,7.8,415,17.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,84.0,86.0,86.0,IP55,160 M (foot),No,,5.5,Yes - 2001 MEPS Level,both,,TEFC 5.5KW 6P,,B3,IEC 60034-2-1 (Edition 2.0),B,6,"Australia,New Zealand",12375,Superseded,55.2,415,125.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,85.0,87.0,87.5,IP55,160 M (foot),No,,7.5,Yes - 2001 MEPS Level,both,,TEFC 7.5KW 6P,,B3,IEC 60034-2-1 (Edition 2.0),B,6,"Australia,New Zealand",12376,Superseded,74.9,415,125.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,86.0,87.5,88.0,IP55,160 L (foot),No,,11.0,Yes - 2001 MEPS Level,100,,TEFC 11KW 6P,,B3,IEC 60034-2-1 (Edition 2.0),B,6,"Australia,New Zealand",12377,Superseded,109.9,415,148.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,88.0,90.0,90.0,IP55,180 L (foot),No,,15.0,Yes - 2001 MEPS Level,both,,TEFC 15KW 6P,,B3,IEC 60034-2-1 (Edition 2.0),B,6,"Australia,New Zealand",12378,Superseded,149.8,415,210.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,89.9,91.1,91.1,IP55,200 L (foot),No,,18.5,Yes - 2001 MEPS Level,both,,TEFC 18.5KW 6P,,B3,IEC 60034-2-1 (Edition 2.0),B,6,"Australia,New Zealand",12379,Superseded,184.8,415,282.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,90.1,91.5,91.5,IP55,200 L (foot),No,,22.0,Yes - 2001 MEPS Level,both,,TEFC 22KW 6P,,B3,IEC 60034-2-1 (Edition 2.0),B,6,"Australia,New Zealand",12380,Superseded,219.8,415,282.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,90.5,92.0,92.0,IP55,225 M (foot),No,,30.0,Yes - 2001 MEPS Level,both,,TEFC 30KW 6P,,B3,IEC 60034-2-1 (Edition 2.0),B,6,"Australia,New Zealand",12381,Superseded,298.2,415,275.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,92.0,93.0,93.0,IP55,250 M (foot),No,,37.0,Yes - 2001 MEPS Level,both,,TEFC 37KW 6P,,B3,IEC 60034-2-1 (Edition 2.0),B,6,"Australia,New Zealand",12382,Superseded,367.7,415,473.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,91.9,93.0,93.0,IP55,280 S (foot),No,,45.0,Yes - 2001 MEPS Level,both,,TEFC 45KW 6P,,B3,IEC 60034-2-1 (Edition 2.0),B,6,"Australia,New Zealand",12383,Superseded,447.2,415,600.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,92.5,93.5,93.5,IP55,280 M (foot),No,,55.0,Yes - 2001 MEPS Level,both,,TEFC 55KW 6P,,B3,IEC 60034-2-1 (Edition 2.0),B,6,"Australia,New Zealand",12384,Superseded,546.6,415,670.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,92.5,94.0,94.0,IP55,315 S (foot),No,,75.0,Yes - 2001 MEPS Level,both,,TEFC 75KW 6P,,B3,IEC 60034-2-1 (Edition 2.0),B,6,"Australia,New Zealand",12385,Superseded,740.1,415,900.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,93.5,94.2,94.2,IP55,315 M (foot),No,,90.0,Yes - 2001 MEPS Level,both,,TEFC 90KW 6P,,B3,IEC 60034-2-1 (Edition 2.0),B,6,"Australia,New Zealand",12386,Superseded,888.1,415,950.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,93.5,94.5,94.5,IP55,315 M (foot),No,,110.0,Yes - 2001 MEPS Level,both,,TEFC 110KW 6P,,B3,IEC 60034-2-1 (Edition 2.0),B,6,"Australia,New Zealand",12387,Superseded,1085.5,415,950.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,84.0,86.0,86.0,IP55,112 M (foot),No,,5.5,Yes - 2001 MEPS Level,both,,TEFC 5.5KW 2P,,B3,IEC 60034-2-1 (Edition 2.0),B,2,"Australia,New Zealand",12423,Superseded,18.6,415,45.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,86.0,88.0,88.0,IP55,112 M (foot),No,,7.5,Yes - 2001 MEPS Level,both,,TEFC 7.5KW 2P,,B3,IEC 60034-2-1 (Edition 2.0),B,2,"Australia,New Zealand",12424,Superseded,25.3,415,68.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,87.0,89.0,89.0,IP55,160 M (foot),No,,11.0,Yes - 2001 MEPS Level,both,,TEFC 11KW 2P,,B3,IEC 60034-2-1 (Edition 2.0),B,2,"Australia,New Zealand",12425,Superseded,36.7,415,125.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,74.0,75.5,76.0,IP55,90 L (foot),No,,1.1,Yes - 2001 MEPS Level,both,,TEFC 1.1KW 6P,,B3,IEC 60034-2-1 (Edition 2.0),B,6,"Australia,New Zealand",12426,Superseded,11.5,415,25.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,76.0,77.5,78.0,IP55,100 L (foot),No,,1.5,Yes - 2001 MEPS Level,100,,TEFC 1.5KW 6P,,B3,IEC 60034-2-1 (Edition 2.0),B,6,"Australia,New Zealand",12427,Superseded,,415,,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,78.0,80.0,80.5,IP55,112 M (foot),No,,2.2,Yes - 2001 MEPS Level,both,,TEFC 2.2KW 6P,,B3,IEC 60034-2-1 (Edition 2.0),B,6,"Australia,New Zealand",12428,Superseded,22.9,415,42.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,75.0,77.8,78.0,IP55,132 S (foot),No,,2.2,Yes - 2001 MEPS Level,both,,TEFC 2.2KW 8P,,B3,IEC 60034-2-1 (Edition 2.0),B,8,"Australia,New Zealand",12429,Superseded,30.2,415,68.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CEG,Italy,69.0,74.0,75.2,IP55,M80a,No,,0.75,Yes - 2001 MEPS Level,both,,H80A-2/FHA,,"B3,B5,B14",AS 1359.102.1:1997,B,2,New Zealand,13465,Superseded,2.48,400,8.4,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CEG,Italy,69.0,74.0,75.2,IP55,M80a,No,,0.75,Yes - 2001 MEPS Level,both,,H80A-2/FHC,,"B3,B5,B14",AS 1359.102.1:1997,B,2,New Zealand,13465,Superseded,2.48,400,8.4,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CEG,Italy,69.0,74.0,75.2,IP55,M80a,No,,0.75,Yes - 2001 MEPS Level,both,,H80A-2/FPC,,"B3,B5,B14",AS 1359.102.1:1997,B,2,New Zealand,13465,Superseded,2.48,400,8.4,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CEG,Italy,69.0,74.0,75.2,IP55,M80a,No,,0.75,Yes - 2001 MEPS Level,both,,MT80A2-FHAH H80A-2,,"B3,B5,B14",AS 1359.102.1:1997,B,2,New Zealand,13465,Superseded,2.48,400,8.4,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CEG,Italy,69.0,74.0,75.2,IP55,M80a,No,,0.75,Yes - 2001 MEPS Level,both,,MT80A2-FHCH,,"B3,B5,B14",AS 1359.102.1:1997,B,2,New Zealand,13465,Superseded,2.48,400,8.4,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CEG,Italy,69.0,74.0,75.2,IP55,M80a,No,,0.75,Yes - 2001 MEPS Level,both,,MT80A2-FPCH,,"B3,B5,B14",AS 1359.102.1:1997,B,2,New Zealand,13465,Superseded,2.48,400,8.4,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CEG,Italy,69.0,74.0,75.2,IP55,M80a,No,,0.75,Yes - 2001 MEPS Level,both,,MT80A2-H,,"B3,B5,B14",AS 1359.102.1:1997,B,2,New Zealand,13465,Superseded,2.48,400,8.4,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CEG,Italy,71.2,75.5,76.5,IP55,M80b,No,,1.1,Yes - 2001 MEPS Level,100,,H80B-2/FHA,,"B3,B5,B14",AS 1359.102.1:1997,B,2,New Zealand,13466,Superseded,3.684,400,9.5,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CEG,Italy,71.2,75.5,76.5,IP55,M80b,No,,1.1,Yes - 2001 MEPS Level,100,,H80B-2/FHC,,"B3,B5,B14",AS 1359.102.1:1997,B,2,New Zealand,13466,Superseded,3.684,400,9.5,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CEG,Italy,71.2,75.5,76.5,IP55,M80b,No,,1.1,Yes - 2001 MEPS Level,100,,H80B-2/FPC,,"B3,B5,B14",AS 1359.102.1:1997,B,2,New Zealand,13466,Superseded,3.684,400,9.5,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CEG,Italy,71.2,75.5,76.5,IP55,M80b,No,,1.1,Yes - 2001 MEPS Level,100,,MT80B2-FHAH H80B-2,,"B3,B5,B14",AS 1359.102.1:1997,B,2,New Zealand,13466,Superseded,3.684,400,9.5,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CEG,Italy,71.2,75.5,76.5,IP55,M80b,No,,1.1,Yes - 2001 MEPS Level,100,,MT80B2-FHCH,,"B3,B5,B14",AS 1359.102.1:1997,B,2,New Zealand,13466,Superseded,3.684,400,9.5,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CEG,Italy,71.2,75.5,76.5,IP55,M80b,No,,1.1,Yes - 2001 MEPS Level,100,,MT80B2-FPCH,,"B3,B5,B14",AS 1359.102.1:1997,B,2,New Zealand,13466,Superseded,3.684,400,9.5,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CEG,Italy,71.2,75.5,76.5,IP55,M80b,No,,1.1,Yes - 2001 MEPS Level,100,,MT80B2-H,,"B3,B5,B14",AS 1359.102.1:1997,B,2,New Zealand,13466,Superseded,3.684,400,9.5,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CEG,Italy,73.5,77.6,78.8,IP55,90 S (foot),No,,1.5,Yes - 2001 MEPS Level,100,,H90LA-2/FHA,,"B3,B5,B14",AS 1359.102.1:1997,B,2,New Zealand,13467,Superseded,4.951,400,12.3,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CEG,Italy,73.5,77.6,78.8,IP55,90 S (foot),No,,1.5,Yes - 2001 MEPS Level,100,,H90LA-2/FHC,,"B3,B5,B14",AS 1359.102.1:1997,B,2,New Zealand,13467,Superseded,4.951,400,12.3,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CEG,Italy,73.5,77.6,78.8,IP55,90 S (foot),No,,1.5,Yes - 2001 MEPS Level,100,,H90LA-2/FPC,,"B3,B5,B14",AS 1359.102.1:1997,B,2,New Zealand,13467,Superseded,4.951,400,12.3,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CEG,Italy,73.5,77.6,78.8,IP55,90 S (foot),No,,1.5,Yes - 2001 MEPS Level,100,,MT90LA2-FHAH H90LA-2,,"B3,B5,B14",AS 1359.102.1:1997,B,2,New Zealand,13467,Superseded,4.951,400,12.3,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CEG,Italy,73.5,77.6,78.8,IP55,90 S (foot),No,,1.5,Yes - 2001 MEPS Level,100,,MT90LA2-FHCH,,"B3,B5,B14",AS 1359.102.1:1997,B,2,New Zealand,13467,Superseded,4.951,400,12.3,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CEG,Italy,73.5,77.6,78.8,IP55,90 S (foot),No,,1.5,Yes - 2001 MEPS Level,100,,MT90LA2-FPCH,,"B3,B5,B14",AS 1359.102.1:1997,B,2,New Zealand,13467,Superseded,4.951,400,12.3,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CEG,Italy,73.5,77.6,78.8,IP55,90 S (foot),No,,1.5,Yes - 2001 MEPS Level,100,,MT90LA2-H,,"B3,B5,B14",AS 1359.102.1:1997,B,2,New Zealand,13467,Superseded,4.951,400,12.3,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CEG,Italy,80.4,81.9,81.2,IP55,90 L (foot),No,,2.2,Yes - 2001 MEPS Level,both,,MT90LA2-H,,"B3,B5,B14",AS 1359.102.1:1997,B,2,New Zealand,13468,Superseded,7.514,400,15.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CEG,Italy,79.4,82.3,83.2,IP55,100 L (foot),No,,3.0,Yes - 2001 MEPS Level,100,,H100LA-2/FHA,,"B3,B5,B14",AS 1359.102.1:1997,B,2,New Zealand,13469,Superseded,9.88,400,19.7,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CEG,Italy,79.4,82.3,83.2,IP55,100 L (foot),No,,3.0,Yes - 2001 MEPS Level,100,,H100LA-2/FHC,,"B3,B5,B14",AS 1359.102.1:1997,B,2,New Zealand,13469,Superseded,9.88,400,19.7,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CEG,Italy,79.4,82.3,83.2,IP55,100 L (foot),No,,3.0,Yes - 2001 MEPS Level,100,,H100LA-2/FPC,,"B3,B5,B14",AS 1359.102.1:1997,B,2,New Zealand,13469,Superseded,9.88,400,19.7,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CEG,Italy,79.4,82.3,83.2,IP55,100 L (foot),No,,3.0,Yes - 2001 MEPS Level,100,,MT100LA2-FHAH H100LA-2,,"B3,B5,B14",AS 1359.102.1:1997,B,2,New Zealand,13469,Superseded,9.88,400,19.7,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CEG,Italy,79.4,82.3,83.2,IP55,100 L (foot),No,,3.0,Yes - 2001 MEPS Level,100,,MT100LA2-FHCH,,"B3,B5,B14",AS 1359.102.1:1997,B,2,New Zealand,13469,Superseded,9.88,400,19.7,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CEG,Italy,79.4,82.3,83.2,IP55,100 L (foot),No,,3.0,Yes - 2001 MEPS Level,100,,MT100LA2-FPCH,,"B3,B5,B14",AS 1359.102.1:1997,B,2,New Zealand,13469,Superseded,9.88,400,19.7,,2006-06-16,Single product class,Available,,
