ApplStandard,Brand,climate_class,Country,high_efficiency,Model No,Family Name,N-Standard,Sold_in,Submit_ID,SubmitStatus,Temp_Class,total_dis_area,total_energy_cons,type,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Type,Efficiency (kWh/24h/m²),Length,Climate Class,Depth,Cabinet Description,Total Energy Consumption(kWh/24h),Cabinet Type,Star Rating,Energy Efficiency Index,Width,Net Volume,Height,Duty Type,Product Class Number
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN IMPACT,3M1,New Zealand,False,D5LEM,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16923,Approved,N/A,4.002,52.666,RS2 - Lit shelves (MEPS),,,Class 4,Unavailable,,,,13.15992003998,,,1174.0,,,,,,2448.0,,2066.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN IMPACT,3M1,New Zealand,False,D5NGEM,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16923,Approved,N/A,4.002,52.666,RS2 - Lit shelves (MEPS),,,Class 4,Unavailable,,,,13.15992003998,,,1174.0,,,,,,2448.0,,2066.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN IMPACT,3M1,New Zealand,False,M5GE,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16924,Approved,N/A,3.636,42.782,RS2 - Lit shelves (MEPS),,,Class 4,Unavailable,,,,11.7662266226623,,,1174.0,,,,,,2448.0,,1979.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN IMPACT,3M1,New Zealand,False,M5NGE,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16924,Approved,N/A,3.636,42.782,RS2 - Lit shelves (MEPS),,,Class 4,Unavailable,,,,11.7662266226623,,,1174.0,,,,,,2448.0,,1979.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN IMPACT,3M2,New Zealand,False,P2E,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16925,Approved,N/A,3.266,28.519,RS2 - Unlit shelves (MEPS),,,Class 3,Unavailable,,,,8.73208818126148,,,1174.0,,,,,,2448.0,,1878.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN IMPACT,3M2,New Zealand,False,P4E,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16926,Approved,N/A,4.002,41.257,RS2 - Unlit shelves (MEPS),,,Class 3,Unavailable,,,,10.3090954522739,,,1174.0,,,,,,2448.0,,2061.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN IMPACT,3M2,New Zealand,False,P4LE,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16926,Approved,N/A,4.002,41.257,RS2 - Unlit shelves (MEPS),,,Class 3,Unavailable,,,,10.3090954522739,,,1174.0,,,,,,2448.0,,2061.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN IMPACT,3M1,New Zealand,False,RM,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16927,Approved,N/A,2.661,22.686,RS4 - Glass door (MEPS),,,Class 7,Available,,,,8.52536640360767,,,1110.0,,,,,,2350.0,,2083.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN IMPACT,3L1,New Zealand,False,L,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16928,Approved,N/A,1.787,28.601,RS13 - Solid sided (MEPS),,,Class 17,Unavailable,,,,16.0050363738109,,,1092.0,,,,,,2448.0,,902.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN IMPACT,3L1,New Zealand,False,LN,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16928,Approved,N/A,1.787,28.601,RS13 - Solid sided (MEPS),,,Class 17,Unavailable,,,,16.0050363738109,,,1092.0,,,,,,2448.0,,902.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN IMPACT,3L1,New Zealand,False,LWE,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16928,Approved,N/A,1.787,28.601,RS13 - Solid sided (MEPS),,,Class 17,Unavailable,,,,16.0050363738109,,,1092.0,,,,,,2448.0,,902.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN IMPACT,3L1,New Zealand,False,LG,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16929,Approved,N/A,2.194,33.894,RS13 - Glass sided (MEPS),,,Class 18,Unavailable,,,,15.4484958979034,,,1092.0,,,,,,2448.0,,914.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN IMPACT,3L1,New Zealand,False,LNG,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16929,Approved,N/A,2.194,33.894,RS13 - Glass sided (MEPS),,,Class 18,Unavailable,,,,15.4484958979034,,,1092.0,,,,,,2448.0,,914.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN IMPACT,3L1,New Zealand,False,LWEG,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16929,Approved,N/A,2.194,33.894,RS13 - Glass sided (MEPS),,,Class 18,Unavailable,,,,15.4484958979034,,,1092.0,,,,,,2448.0,,914.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN IMPACT,3L1,New Zealand,False,LW,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16930,Approved,N/A,3.354,49.699,RS14 - Solid sided (MEPS),,,Class 19,Unavailable,,,,14.8178294573643,,,2070.0,,,,,,2448.0,,902.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN IMPACT,3L1,New Zealand,False,LWG,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16931,Approved,N/A,3.907,62.976,RS14 - Glass sided (MEPS),,,Class 20,Unavailable,,,,16.11876119785,,,2070.0,,,,,,2448.0,,914.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN IMPACT,3L1,New Zealand,False,LWGH,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16931,Approved,N/A,3.907,62.976,RS14 - Glass sided (MEPS),,,Class 20,Unavailable,,,,16.11876119785,,,2070.0,,,,,,2448.0,,914.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN SPECIALTY,3M2,New Zealand,False,CID04,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16933,Approved,N/A,11.668,177.783,RS10 - Low (MEPS),,,Class 14,Unavailable,,,,15.236801508399,,,2190.0,,,,,,3658.0,,1362.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN SPECIALTY,3M1,New Zealand,False,NEGCH-F,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16934,Approved,N/A,1.389,16.465,RS8 - Gravity coil (MEPS),,,Class 11,Unavailable,,,,11.8538516918647,,,1092.0,,,,,,2448.0,,1350.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN SPECIALTY,3M1,New Zealand,False,NEGR-F,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16934,Approved,N/A,1.389,16.465,RS8 - Gravity coil (MEPS),,,Class 11,Unavailable,,,,11.8538516918647,,,1092.0,,,,,,2448.0,,1350.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN SPECIALTY,3M1,New Zealand,False,NEGCH,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16935,Approved,N/A,1.859,20.321,RS8 - Gravity coil (MEPS),,,Class 11,Unavailable,,,,10.9311457772996,,,1092.0,,,,,,2448.0,,1274.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN SPECIALTY,3M1,New Zealand,False,NEGR,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16935,Approved,N/A,1.859,20.321,RS8 - Gravity coil (MEPS),,,Class 11,Unavailable,,,,10.9311457772996,,,1092.0,,,,,,2448.0,,1274.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN SPECIALTY,3M1,New Zealand,False,PVR,,AS 1731.14 Ament 2 dated 9 July 2012,New Zealand,16936,Approved,N/A,3.865,67.92,RS1 - Lit shelves (MEPS),,,Class 2,Unavailable,,,,17.5730918499353,,,1256.0,,,,,,2500.0,,2200.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN SPECIALTY,3M1,New Zealand,False,RGSDL-1,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16937,Approved,N/A,1.768,20.029,RS8 - Fan coil (MEPS),,,Class 12,Unavailable,,,,11.3286199095023,,,1092.0,,,,,,2448.0,,1400.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN SPECIALTY,3M1,New Zealand,False,RGSDL-2,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16938,Approved,N/A,2.269,21.565,RS9 - Fan coil (MEPS),,,Class 13,Unavailable,,,,9.504186866461,,,1092.0,,,,,,2448.0,,1400.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN SPECIALTY,3M1,New Zealand,False,RGSDS-1,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16939,Approved,N/A,1.548,20.029,RS6 - Fan coil (MEPS),,,Class 9,Unavailable,,,,12.9386304909561,,,1083.0,,,,,,2448.0,,1266.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN SPECIALTY,3M1,New Zealand,False,RGSDS-2,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16940,Approved,N/A,2.189,23.873,RS7 - Fan coil (MEPS),,,Class 10,Unavailable,,,,10.905893101873,,,1083.0,,,,,,2448.0,,1266.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN SPECIALTY,3M1,New Zealand,False,RGSFL,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16941,Approved,N/A,1.814,17.748,RS8 - Gravity coil (MEPS),,,Class 11,Unavailable,,,,9.78390297684675,,,1173.0,,,,,,2448.0,,1340.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN SPECIALTY,3M1,New Zealand,False,RGSFS,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16942,Approved,N/A,1.734,17.748,RS6 - Gravity coil (MEPS),,,Class 8,Unavailable,,,,10.2352941176471,,,1171.0,,,,,,2448.0,,1495.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN SPECIALTY,3M2,New Zealand,False,RIC02,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16943,Approved,N/A,5.451,87.009,RS10 - Low (MEPS),,,Class 14,Unavailable,,,,15.9620253164557,,,1826.0,,,,,,2427.0,,1417.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN SPECIALTY,3M2,New Zealand,False,RIC04,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16944,Approved,N/A,10.65,139.906,RS10 - Low (MEPS),,,Class 14,Unavailable,,,,13.1367136150235,,,1832.0,,,,,,3558.0,,1474.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN SPECIALTY,3M1,New Zealand,False,RVGS,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16945,Approved,N/A,3.439,52.68,RS3 - Lit shelves (MEPS),,,Class 6,Unavailable,,,,15.3184065135214,,,1170.0,,,,,,2448.0,,1495.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN SPECIALTY,3M1,New Zealand,False,RVL-S,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16946,Approved,N/A,2.949,51.482,RS3 - Lit shelves (MEPS),,,Class 6,Unavailable,,,,17.4574432010851,,,1122.0,,,,,,2448.0,,1330.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN SPECIALTY,3M1,New Zealand,False,VDS,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16947,Approved,N/A,2.751,49.532,RS3 - Lit shelves (MEPS),,,Class 6,Unavailable,,,,18.0050890585242,,,808.0,,,,,,2448.0,,1485.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN SPECIALTY,3M1,New Zealand,False,CLC3L,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16948,Approved,M1,0.953,33.66,VC1 (MEPS),,,Class 27,Unavailable,,,,35.3200419727177,,,787.0,,,,,,960.0,,1530.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN SPECIALTY,3M1,New Zealand,False,CLC4L,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16949,Approved,M1,1.444,45.045,VC1 (MEPS),,,Class 27,Unavailable,,,,31.1945983379501,,,1068.0,,,,,,960.0,,1520.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN KOXKA,3M1,Spain,True,M1-19L,,AS 1731.14 Ament 2 dated 9 July 2012,New Zealand,17255,Approved,M1,2.502,42.083,VC2 (MEPS),,,Class 28,Unavailable,,,,16.8197442046363,,,850.0,,,,,,1880.0,,1955.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,SKOPE,3M1,New Zealand,True,SK500-2-CX,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17333,Approved,M1,0.557,5.405,VC4 (b) - Glass Door (MEPS),,,Class 29,Unavailable,http://www.skope.co.nz/,,,9.70377019748653,,,700.0,,,,,,568.0,,2195.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,ARNEG,"3M2,3H2",Italy,False,MINI ODESSA MT  937,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17467,Approved,M2,1.209,29.704,VC2 (MEPS),,,Class 28,Unavailable,http://www.arneg.com.au/,,,24.5690653432589,,,878.0,,,,,,1037.0,,1949.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,ARNEG,"3M2,3H2",Italy,False,MINI ODESSA MT 1250,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17472,Approved,M2,1.613,35.918,VC2 (MEPS),,,Class 28,Unavailable,http://www.arneg.com.au/,,,22.2678239305642,,,878.0,,,,,,1350.0,,1949.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,ARNEG,"3M2,3H2",Italy,False,MINI ODESSA MT 1875,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17474,Approved,M2,2.419,49.186,VC2 (MEPS),,,Class 28,Unavailable,http://www.arneg.com.au/,,,20.3331955353452,,,878.0,,,,,,1975.0,,1949.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,ARNEG,"3M2,3H2",Italy,False,MINI ODESSA MT 2500,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17475,Approved,M2,3.225,61.511,VC2 (MEPS),,,Class 28,Unavailable,http://www.arneg.com.au/,,,19.0731782945736,,,878.0,,,,,,2600.0,,1949.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,ARNEG,"3M2,3H2",Italy,False,ODESSA 2 SL 1250,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17476,Approved,M2,1.614,40.0,VC2 (MEPS),,,Class 28,Unavailable,http://www.arneg.com.au/,,,24.7831474597274,,,936.0,,,,,,1370.0,,2001.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,ARNEG,"3M2,3H2",Italy,False,ODESSA 2 SL 1875,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17477,Approved,M2,2.421,58.0,VC2 (MEPS),,,Class 28,Unavailable,http://www.arneg.com.au/,,,23.9570425444031,,,936.0,,,,,,1995.0,,2001.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,ARNEG,"3M2,3H2",Italy,False,ODESSA 2 SL 2500,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17479,Approved,M2,3.227,70.0,VC2 (MEPS),,,Class 28,Unavailable,http://www.arneg.com.au/,,,21.6919739696312,,,936.0,,,,,,2620.0,,2001.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,ARNEG,"3M2,3H2",Italy,False,ODESSA 2 SL 3750,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17480,Approved,M2,4.841,94.0,VC2 (MEPS),,,Class 28,Unavailable,http://www.arneg.com.au/,,,19.4174757281553,,,936.0,,,,,,3870.0,,2001.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,ARNEG,"3L2,3L3",Italy,False,LAVAL BT/TN 1200,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17483,Approved,L2,0.933,22.3,HF4 (MEPS),,,Class 31,Unavailable,http://www.arneg.com.au/,,,23.9013933547696,,,1048.0,,,,,,1320.0,,875.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,ARNEG,"3L2,3L3",Italy,False,LAVAL BT/TN 1800,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17484,Approved,L2,1.399,28.4,HF4 (MEPS),,,Class 31,Unavailable,http://www.arneg.com.au/,,,20.3002144388849,,,1048.0,,,,,,1920.0,,875.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,ARNEG,"3L2,3L3",Italy,False,LAVAL BT/TN 2400,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17485,Approved,L2,1.865,35.9,HF4 (MEPS),,,Class 31,Unavailable,http://www.arneg.com.au/,,,19.2493297587131,,,1048.0,,,,,,2520.0,,925.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,ARNEG,"3M2,3H2",Italy,False,ASPEN VCA  937,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17487,Approved,M2,0.6,8.84,HC2,,,,Unavailable,http://www.arneg.com.au/,,,14.7333333333333,,,1177.0,,,,,,1037.0,,1281.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,ARNEG,"3M2,3H2",Italy,False,ASPEN VCA 1250,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17489,Approved,M2,0.805,9.08,HC2,,,,Unavailable,http://www.arneg.com.au/,,,11.2795031055901,,,1177.0,,,,,,1350.0,,1281.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,ARNEG,"3M2,3H2",Italy,False,ASPEN VCA 1562,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17492,Approved,M2,1.01,9.56,HC2,,,,Unavailable,http://www.arneg.com.au/,,,9.46534653465346,,,1177.0,,,,,,1662.0,,1281.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,ARNEG,"3M2,3H2",Italy,False,ASPEN VCA 1875,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17494,Approved,M2,1.215,14.48,HC2,,,,Unavailable,http://www.arneg.com.au/,,,11.917695473251,,,1177.0,,,,,,1975.0,,1281.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,ARNEG,"3M2,3H2",Italy,False,ASPEN VCA 2500,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17505,Approved,M2,1.61,17.76,HC2,,,,Unavailable,http://www.arneg.com.au/,,,11.0310559006211,,,1177.0,,,,,,2600.0,,1281.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,ARNEG,"3M2,3H2",Italy,False,ASPEN VCA 3125,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17506,Approved,M2,2.021,19.62,HC2,,,,Unavailable,http://www.arneg.com.au/,,,9.70806531420089,,,1177.0,,,,,,3225.0,,1281.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,ARNEG,"3M2,3H2",Italy,False,ASPEN VCA 3750,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17507,Approved,M2,2.431,23.24,HC2,,,,Unavailable,http://www.arneg.com.au/,,,9.55985191279309,,,1177.0,,,,,,3850.0,,1281.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,ARNEG,"3M2,3H2",Italy,False,ASPEN VCB  937,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17508,Approved,M2,0.761,8.0,HC2,,,,Unavailable,http://www.arneg.com.au/,,,10.5124835742444,,,1177.0,,,,,,1037.0,,1253.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,ARNEG,"3M2,3H2",Italy,False,ASPEN VCB 1250,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17509,Approved,M2,1.016,8.0,HC2,,,,Unavailable,http://www.arneg.com.au/,,,7.8740157480315,,,1177.0,,,,,,1350.0,,1253.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,ARNEG,"3M2,3H2",Italy,False,ASPEN VCB 1562,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17510,Approved,M2,1.271,8.0,HC2,,,,Unavailable,http://www.arneg.com.au/,,,6.29425649095201,,,1177.0,,,,,,1662.0,,1253.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,ARNEG,"3M2,3H2",Italy,False,ASPEN VCB 1875,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17511,Approved,M2,1.524,12.8,HC2,,,,Unavailable,http://www.arneg.com.au/,,,8.3989501312336,,,1177.0,,,,,,1975.0,,1253.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,ARNEG,"3M2,3H2",Italy,False,ASPEN VCB 2500,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",17512,Approved,M2,2.032,15.6,HC2,,,,Unavailable,http://www.arneg.com.au/,,,7.67716535433071,,,1177.0,,,,,,2600.0,,1253.0,,
